estrategia,ativo,retorno_total_%,drawdown_max_%,numero_trades,trades_por_ano,taxa_acerto_%,score_crescimento,score_fluxo,perfil,explicacao,nota_final
MomRev_252m_21r_th-5,WTIUSD,-22.0,32.25,1,121.67,100.0,29.3,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",55.15
MA_Filter_EMA_50,WTIUSD,191.57,36.82,1,182.5,0.0,69.0,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,55.0
MA_Filter_EMA_50,BTCUSD,888.53,50.86,5,30.93,0.0,64.7,45.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,54.85
MA_Filter_SMA_200,WTIUSD,111.77,52.8,4,18.02,0.0,64.2,44.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,54.1
MA_Filter_EMA_50,USDBRL,95.02,34.74,1,91.25,0.0,67.1,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,54.05
ROC_20_th0,WTIUSD,795.32,47.12,2,182.5,0.0,65.9,42.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,53.95
Momentum_126d_th5pct,WTIUSD,217.96,45.78,1,365.0,0.0,66.3,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,53.65
TrendRev_MA200_RSI14_35_65,WTIUSD,39.9,5.82,4,6.19,25.0,53.2,54.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",53.6
MA_Filter_SMA_200,WTIUSD,188.68,52.8,1,365.0,0.0,64.2,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,52.6
MA_Filter_EMA_50,WTIUSD,357.86,56.69,1,365.0,0.0,63.0,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,52.0
MA_Filter_EMA_50,WTIUSD,416.51,56.69,1,365.0,0.0,63.0,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,52.0
Momentum_126d_th5pct,COPPERFUT,21.03,32.74,2,56.15,50.0,40.7,62.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",51.35
Momentum_126d_th5pct,COPPERFUT,-3.98,5.88,2,56.15,50.0,36.2,62.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",49.1
MA_Filter_EMA_50,USDBRL,41.89,12.18,4,27.04,0.0,47.3,44.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,45.65
TrendRev_MA200_RSI14_35_65,BTCUSD,64.34,41.94,1,40.56,0.0,49.6,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,45.3
Momentum_126d_th5pct,SOYFUT,8.26,32.76,3,4.42,33.33,31.0,56.3,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",43.65
Momentum_252d_th0pct,USDBRL,39.2,12.23,1,182.5,0.0,45.9,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,43.45
ROC_20_th0,SOYFUT,24.61,41.45,5,20.51,20.0,33.9,53.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",43.45
MA_Filter_SMA_200,XAUUSD,39.1,17.76,2,104.29,0.0,44.2,42.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,43.1
Momentum_252d_th0pct,WTIUSD,0.52,6.55,5,57.03,20.0,32.3,53.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",42.65
MA_Filter_EMA_50,XAUUSD,32.06,12.82,2,18.25,0.0,42.2,42.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,42.1
Momentum_252d_th0pct,SOYFUT,41.88,35.17,1,33.18,0.0,40.4,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",40.7
Momentum_252d_th0pct,XAUUSD,31.31,17.49,1,73.0,0.0,40.4,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",40.7
MA_Cross_EMA_20_200,DOLFUT,21.56,6.83,1,121.67,0.0,38.7,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.85
MA_Cross_EMA_20_200,DOLFUT,24.71,13.31,1,121.67,0.0,38.4,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.7
MA_Filter_EMA_50,COPPERFUT,37.83,41.01,2,56.15,0.0,36.6,42.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.3
MA_Filter_SMA_200,DOLFUT,17.37,6.83,2,91.25,0.0,36.6,42.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.3
ROC_20_th0,XAUUSD,36.38,36.65,1,60.83,0.0,37.2,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.1
MA_Cross_EMA_20_200,COPPERFUT,31.08,28.16,1,33.18,0.0,37.1,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",39.05
MA_Filter_EMA_50,SOYFUT,25.27,31.25,4,33.18,0.0,33.3,44.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",38.65
BB_Rev_20_2.5std_upper,IVVB11,177.97,9.89,0,0.0,0.0,77.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,38.5
Donchian_55_20,BOVA11,99.95,11.06,0,0.0,0.0,76.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,38.35
Momentum_126d_th5pct,DOLFUT,17.29,9.82,1,121.67,0.0,35.7,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",38.35
MA_Filter_SMA_200,COPPERFUT,26.28,26.21,1,30.42,0.0,35.3,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",38.15
Donchian_20_10,BOVA11,142.93,12.54,0,0.0,0.0,76.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,38.1
Donchian_20_10,IVVB11,234.51,13.41,0,0.0,0.0,76.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,38.0
Momentum_126d_th5pct,DOLFUT,14.12,6.83,1,121.67,0.0,35.0,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",38.0
Donchian_20_10,IVVB11,100.32,13.31,0,0.0,0.0,76.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,38.0
Momentum_126d_th5pct,USDBRL,16.87,12.23,1,365.0,0.0,34.8,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",37.9
ROC_20_th0,IVVB11,115.94,14.62,0,0.0,0.0,75.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.8
MA_Filter_SMA_200,DOLFUT,15.82,14.7,2,91.25,0.0,33.5,42.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",37.75
MA_Filter_EMA_50,USDBRL,14.52,19.88,4,69.52,0.0,31.3,44.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",37.65
Momentum_126d_th5pct,DOLFUT,-2.03,4.91,7,5.07,0.0,27.5,47.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",37.25
MA_Filter_EMA_50,IVVB11,103.83,18.45,0,0.0,0.0,74.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.25
Triple_MA_SMA_10_50_200,XAUUSD,122.31,18.67,0,0.0,0.0,74.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.2
TrendRev_MA200_RSI14_35_65,BTCUSD,187.7,18.52,0,0.0,0.0,74.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.2
MA_Cross_SMA_20_200,XAUUSD,108.82,18.89,0,0.0,0.0,74.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.15
MA_Cross_EMA_20_200,XAUUSD,102.77,18.89,0,0.0,0.0,74.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.15
Momentum_126d_th5pct,XAUUSD,142.34,19.44,0,0.0,0.0,74.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.1
Momentum_126d_th5pct,XAUUSD,113.15,19.44,0,0.0,0.0,74.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.1
BB_Rev_20_2.5std_upper,COPPERFUT,160.17,19.83,0,0.0,0.0,74.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.05
RSI_Rev_14_25_75,COPPERFUT,115.56,19.83,0,0.0,0.0,74.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.05
Donchian_55_20,IVVB11,139.22,20.13,0,0.0,0.0,74.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,37.0
MA_Filter_SMA_200,WTIUSD,31.04,41.92,1,121.67,0.0,32.9,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",36.95
MA_Cross_SMA_20_200,XAUUSD,177.16,20.74,0,0.0,0.0,73.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.9
MA_Cross_SMA_50_200,XAUUSD,146.91,21.4,0,0.0,0.0,73.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.8
BB_Rev_20_2.5std_upper,IVVB11,260.38,21.26,0,0.0,0.0,73.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.8
Triple_MA_SMA_10_50_200,IVVB11,213.18,22.47,0,0.0,0.0,73.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.65
Donchian_20_10,USDBRL,130.42,23.06,0,0.0,0.0,73.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.55
MA_Cross_SMA_20_200,IVVB11,119.15,23.09,0,0.0,0.0,73.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.55
Momentum_126d_th5pct,IVVB11,101.33,22.95,0,0.0,0.0,73.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.55
MA_Cross_EMA_20_200,XAUUSD,152.64,23.36,0,0.0,0.0,73.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.5
MA_Cross_EMA_20_200,IVVB11,112.56,23.41,0,0.0,0.0,73.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.5
TrendRev_MA200_RSI14_35_65,XAUUSD,8.06,7.41,1,121.67,0.0,31.8,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",36.4
Donchian_55_20,USDBRL,109.26,24.05,0,0.0,0.0,72.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.4
MA_Filter_EMA_50,IVVB11,467.42,24.27,0,0.0,0.0,72.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.35
MA_Cross_SMA_20_200,IVVB11,389.89,24.46,0,0.0,0.0,72.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.35
Momentum_252d_th0pct,IVVB11,141.85,24.62,0,0.0,0.0,72.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.3
Momentum_252d_th0pct,IVVB11,487.25,24.62,0,0.0,0.0,72.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.3
MA_Filter_SMA_200,IVVB11,339.3,25.09,0,0.0,0.0,72.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.25
Momentum_126d_th5pct,IVVB11,285.92,25.08,0,0.0,0.0,72.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.25
MA_Filter_SMA_200,XAUUSD,136.54,24.94,0,0.0,0.0,72.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.25
ROC_20_th0,IVVB11,327.3,25.19,0,0.0,0.0,72.4,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.2
Triple_MA_SMA_10_50_200,WTIUSD,209.58,25.61,0,0.0,0.0,72.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.15
Momentum_252d_th0pct,COPPERFUT,106.01,26.49,0,0.0,0.0,72.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,36.05
Donchian_55_20,WTIUSD,128.83,27.17,0,0.0,0.0,71.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.9
MA_Cross_EMA_20_200,IVVB11,354.36,27.46,0,0.0,0.0,71.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.9
MA_Cross_SMA_50_200,IVVB11,354.55,27.71,0,0.0,0.0,71.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.85
MA_Cross_SMA_50_200,IVVB11,103.99,27.71,0,0.0,0.0,71.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.85
Donchian_55_20,WTIUSD,391.66,28.13,0,0.0,0.0,71.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.8
Donchian_55_20,WTIUSD,432.03,28.03,0,0.0,0.0,71.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.8
Momentum_252d_th0pct,XAUUSD,144.7,28.48,0,0.0,0.0,71.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.75
MA_Cross_SMA_50_200,XAUUSD,93.93,18.91,0,0.0,0.0,71.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.65
BB_Rev_20_2.5std_upper,COPPERFUT,200.31,29.38,0,0.0,0.0,71.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.6
MA_Cross_EMA_20_200,USDBRL,133.01,29.4,0,0.0,0.0,71.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.6
Donchian_20_10,BOVA11,228.2,29.48,0,0.0,0.0,71.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.6
MA_Cross_SMA_20_200,USDBRL,126.93,30.04,0,0.0,0.0,71.0,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.5
Donchian_20_10,WTIUSD,179.91,30.26,0,0.0,0.0,70.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.45
MA_Cross_SMA_50_200,USDBRL,120.23,30.7,0,0.0,0.0,70.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.4
Momentum_252d_th0pct,IVVB11,95.41,23.35,0,0.0,0.0,70.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.35
MA_Filter_SMA_200,XAUUSD,93.62,20.62,0,0.0,0.0,70.6,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.3
MA_Filter_SMA_200,IVVB11,95.3,23.9,0,0.0,0.0,70.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.25
ROC_20_th0,USDBRL,104.06,31.69,0,0.0,0.0,70.5,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.25
Momentum_252d_th0pct,XAUUSD,95.09,24.28,0,0.0,0.0,70.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.15
Donchian_55_20,BTCUSD,594.51,32.89,0,0.0,0.0,70.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.05
Donchian_55_20,BOVA11,133.3,32.93,0,0.0,0.0,70.1,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,35.05
MA_Filter_SMA_200,USDBRL,144.39,33.81,0,0.0,0.0,69.9,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.95
Donchian_20_10,IVVB11,87.63,13.41,0,0.0,0.0,69.8,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.9
Momentum_252d_th0pct,DOLFUT,5.05,12.76,1,121.67,0.0,28.7,41.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",34.85
Triple_MA_SMA_10_50_200,BTCUSD,490.35,35.83,0,0.0,0.0,69.2,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.6
ROC_20_th0,WTIUSD,288.61,37.52,0,0.0,0.0,68.7,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.35
ZScore_60_entry2.0_exit0.0,BTCUSD,286.56,38.85,0,0.0,0.0,68.3,0.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,34.15
